quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,64,16,16,160,all,12.3807
hadamard,8,64,16,16,160,mid,12.4074
hadamard,8,64,16,16,160,late,12.3896
hadamard,8,64,16,16,160,early,12.3895
hadamard,8,64,16,16,120,all,12.6524
hadamard,8,64,16,16,120,mid,12.4663
hadamard,8,64,16,16,120,late,12.6071
hadamard,8,64,16,16,120,early,12.3973
hadamard,8,64,16,16,80,all,13.1621
hadamard,8,64,16,16,80,mid,12.5816
hadamard,8,64,16,16,80,late,12.9567
hadamard,8,64,16,16,80,early,12.3923
hadamard,8,64,16,16,40,all,14.5182
hadamard,8,64,16,16,40,mid,12.9810
hadamard,8,64,16,16,40,late,13.7457
hadamard,8,64,16,16,40,early,12.4207
hadamard,8,64,16,16,20,all,17.4178
hadamard,8,64,16,16,20,mid,14.1095
hadamard,8,64,16,16,20,late,14.8948
hadamard,8,64,16,16,20,early,12.4657
hadamard,8,64,16,12,160,all,14.2319
hadamard,8,64,16,12,160,mid,13.3008
hadamard,8,64,16,12,160,late,12.9134
hadamard,8,64,16,12,160,early,12.4524
hadamard,8,64,16,12,120,all,14.6613
hadamard,8,64,16,12,120,mid,13.3928
hadamard,8,64,16,12,120,late,13.1721
hadamard,8,64,16,12,120,early,12.4644
hadamard,8,64,16,12,80,all,15.2875
hadamard,8,64,16,12,80,mid,13.5412
hadamard,8,64,16,12,80,late,13.5335
hadamard,8,64,16,12,80,early,12.4764
hadamard,8,64,16,12,40,all,17.2569
hadamard,8,64,16,12,40,mid,14.1304
hadamard,8,64,16,12,40,late,14.3752
hadamard,8,64,16,12,40,early,12.5072
hadamard,8,64,16,12,20,all,21.2093
hadamard,8,64,16,12,20,mid,15.5466
hadamard,8,64,16,12,20,late,15.5609
hadamard,8,64,16,12,20,early,12.5502
hadamard,8,64,16,8,160,all,17.3309
hadamard,8,64,16,8,160,mid,14.4511
hadamard,8,64,16,8,160,late,13.3487
hadamard,8,64,16,8,160,early,12.6199
hadamard,8,64,16,8,120,all,17.9809
hadamard,8,64,16,8,120,mid,14.5923
hadamard,8,64,16,8,120,late,13.6302
hadamard,8,64,16,8,120,early,12.6269
hadamard,8,64,16,8,80,all,18.9854
hadamard,8,64,16,8,80,mid,14.8444
hadamard,8,64,16,8,80,late,14.0647
hadamard,8,64,16,8,80,early,12.6299
hadamard,8,64,16,8,40,all,21.7310
hadamard,8,64,16,8,40,mid,15.6621
hadamard,8,64,16,8,40,late,14.9494
hadamard,8,64,16,8,40,early,12.6598
hadamard,8,64,16,8,20,all,27.3438
hadamard,8,64,16,8,20,mid,17.0016
hadamard,8,64,16,8,20,late,16.3802
hadamard,8,64,16,8,20,early,12.7264
hadamard,8,64,16,4,160,all,29.8289
hadamard,8,64,16,4,160,mid,17.2673
hadamard,8,64,16,4,160,late,14.3708
hadamard,8,64,16,4,160,early,12.9485
hadamard,8,64,16,4,120,all,30.7974
hadamard,8,64,16,4,120,mid,17.4843
hadamard,8,64,16,4,120,late,14.7090
hadamard,8,64,16,4,120,early,12.9587
hadamard,8,64,16,4,80,all,32.7508
hadamard,8,64,16,4,80,mid,17.8103
hadamard,8,64,16,4,80,late,15.0879
hadamard,8,64,16,4,80,early,12.9864
hadamard,8,64,16,4,40,all,37.2592
hadamard,8,64,16,4,40,mid,18.5924
hadamard,8,64,16,4,40,late,16.0900
hadamard,8,64,16,4,40,early,13.0373
hadamard,8,64,16,4,20,all,44.6860
hadamard,8,64,16,4,20,mid,19.8901
hadamard,8,64,16,4,20,late,17.4234
hadamard,8,64,16,4,20,early,13.1373
hadamard,8,64,12,16,160,all,13.0852
hadamard,8,64,12,16,160,mid,12.6642
hadamard,8,64,12,16,160,late,12.6619
hadamard,8,64,12,16,160,early,12.4290
hadamard,8,64,12,16,120,all,13.3821
hadamard,8,64,12,16,120,mid,12.7351
hadamard,8,64,12,16,120,late,12.8995
hadamard,8,64,12,16,120,early,12.4372
hadamard,8,64,12,16,80,all,13.9162
hadamard,8,64,12,16,80,mid,12.8709
hadamard,8,64,12,16,80,late,13.2522
hadamard,8,64,12,16,80,early,12.4420
hadamard,8,64,12,16,40,all,15.4288
hadamard,8,64,12,16,40,mid,13.4035
hadamard,8,64,12,16,40,late,14.0989
hadamard,8,64,12,16,40,early,12.4776
hadamard,8,64,12,16,20,all,18.7451
hadamard,8,64,12,16,20,mid,14.6485
hadamard,8,64,12,16,20,late,15.3119
hadamard,8,64,12,16,20,early,12.5338
hadamard,8,64,12,12,160,all,16.1721
hadamard,8,64,12,12,160,mid,13.6955
hadamard,8,64,12,12,160,late,13.2602
hadamard,8,64,12,12,160,early,12.5789
hadamard,8,64,12,12,120,all,16.7862
hadamard,8,64,12,12,120,mid,13.7839
hadamard,8,64,12,12,120,late,13.5347
hadamard,8,64,12,12,120,early,12.5963
hadamard,8,64,12,12,80,all,17.5079
hadamard,8,64,12,12,80,mid,13.9749
hadamard,8,64,12,12,80,late,13.8964
hadamard,8,64,12,12,80,early,12.6143
hadamard,8,64,12,12,40,all,19.9128
hadamard,8,64,12,12,40,mid,14.6501
hadamard,8,64,12,12,40,late,14.7724
hadamard,8,64,12,12,40,early,12.6545
hadamard,8,64,12,12,20,all,24.7350
hadamard,8,64,12,12,20,mid,16.0751
hadamard,8,64,12,12,20,late,15.9952
hadamard,8,64,12,12,20,early,12.7168
hadamard,8,64,12,8,160,all,21.3213
hadamard,8,64,12,8,160,mid,14.8923
hadamard,8,64,12,8,160,late,13.5389
hadamard,8,64,12,8,160,early,12.8139
hadamard,8,64,12,8,120,all,22.2733
hadamard,8,64,12,8,120,mid,15.0289
hadamard,8,64,12,8,120,late,13.8548
hadamard,8,64,12,8,120,early,12.8143
hadamard,8,64,12,8,80,all,23.5654
hadamard,8,64,12,8,80,mid,15.2695
hadamard,8,64,12,8,80,late,14.2608
hadamard,8,64,12,8,80,early,12.8299
hadamard,8,64,12,8,40,all,27.2593
hadamard,8,64,12,8,40,mid,16.1493
hadamard,8,64,12,8,40,late,15.1437
hadamard,8,64,12,8,40,early,12.8891
hadamard,8,64,12,8,20,all,34.6852
hadamard,8,64,12,8,20,mid,17.5168
hadamard,8,64,12,8,20,late,16.6026
hadamard,8,64,12,8,20,early,12.9687
hadamard,8,64,12,4,160,all,34.1885
hadamard,8,64,12,4,160,mid,17.8005
