quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,64,16,16,160,all,12.3807
hadamard,8,64,16,16,160,mid,12.4074
hadamard,8,64,16,16,120,all,12.6524
hadamard,8,64,16,16,120,mid,12.4663
hadamard,8,64,16,16,80,all,13.1621
hadamard,8,64,16,16,80,mid,12.5816
hadamard,8,64,16,16,40,all,14.5182
hadamard,8,64,16,16,40,mid,12.9810
hadamard,8,64,16,12,160,all,14.2319
hadamard,8,64,16,12,160,mid,13.3008
hadamard,8,64,16,12,120,all,14.6613
hadamard,8,64,16,12,120,mid,13.3928
hadamard,8,64,16,12,80,all,15.2875
hadamard,8,64,16,12,80,mid,13.5412
hadamard,8,64,16,12,40,all,17.2569
hadamard,8,64,16,12,40,mid,14.1304
hadamard,8,64,16,8,160,all,17.3309
hadamard,8,64,16,8,160,mid,14.4511
hadamard,8,64,16,8,120,all,17.9809
hadamard,8,64,16,8,120,mid,14.5923
hadamard,8,64,16,8,80,all,18.9854
hadamard,8,64,16,8,80,mid,14.8444
hadamard,8,64,16,8,40,all,21.7310
hadamard,8,64,16,8,40,mid,15.6621
hadamard,8,64,12,16,160,all,13.0852
hadamard,8,64,12,16,160,mid,12.6642
hadamard,8,64,12,16,120,all,13.3821
hadamard,8,64,12,16,120,mid,12.7351
hadamard,8,64,12,16,80,all,13.9162
hadamard,8,64,12,16,80,mid,12.8709
hadamard,8,64,12,16,40,all,15.4288
hadamard,8,64,12,16,40,mid,13.4035
hadamard,8,64,12,12,160,all,16.1721
hadamard,8,64,12,12,160,mid,13.6955
hadamard,8,64,12,12,120,all,16.7862
hadamard,8,64,12,12,120,mid,13.7839
hadamard,8,64,12,12,80,all,17.5079
hadamard,8,64,12,12,80,mid,13.9749
hadamard,8,64,12,12,40,all,19.9128
hadamard,8,64,12,12,40,mid,14.6501
hadamard,8,64,12,8,160,all,21.3213
hadamard,8,64,12,8,160,mid,14.8923
hadamard,8,64,12,8,120,all,22.2733
hadamard,8,64,12,8,120,mid,15.0289
hadamard,8,64,12,8,80,all,23.5654
hadamard,8,64,12,8,80,mid,15.2695
hadamard,8,64,12,8,40,all,27.2593
hadamard,8,64,12,8,40,mid,16.1493
hadamard,8,64,8,16,160,all,14.8322
hadamard,8,64,8,16,160,mid,13.4225
hadamard,8,64,8,16,120,all,15.2883
hadamard,8,64,8,16,120,mid,13.5350
hadamard,8,64,8,16,80,all,16.0671
hadamard,8,64,8,16,80,mid,13.7279
hadamard,8,64,8,16,40,all,18.3258
hadamard,8,64,8,16,40,mid,14.3715
hadamard,8,64,8,12,160,all,21.7884
hadamard,8,64,8,12,160,mid,15.0326
hadamard,8,64,8,12,120,all,22.6293
hadamard,8,64,8,12,120,mid,15.1625
hadamard,8,64,8,12,80,all,23.8947
hadamard,8,64,8,12,80,mid,15.3659
hadamard,8,64,8,12,40,all,27.7272
hadamard,8,64,8,12,40,mid,16.1830
hadamard,8,64,8,8,160,all,31.9039
hadamard,8,64,8,8,160,mid,15.9646
hadamard,8,64,8,8,120,all,33.2718
hadamard,8,64,8,8,120,mid,16.0814
hadamard,8,64,8,8,80,all,35.7631
hadamard,8,64,8,8,80,mid,16.3638
hadamard,8,64,8,8,40,all,41.5042
hadamard,8,64,8,8,40,mid,17.1578
hadamard,8,128,16,16,160,all,12.3905
hadamard,8,128,16,16,160,mid,12.3992
hadamard,8,128,16,16,120,all,12.6638
hadamard,8,128,16,16,120,mid,12.4555
hadamard,8,128,16,16,80,all,13.1689
hadamard,8,128,16,16,80,mid,12.5833
hadamard,8,128,16,16,40,all,14.5131
hadamard,8,128,16,16,40,mid,12.9813
hadamard,8,128,16,12,160,all,14.2379
hadamard,8,128,16,12,160,mid,13.2821
hadamard,8,128,16,12,120,all,14.6518
hadamard,8,128,16,12,120,mid,13.3932
hadamard,8,128,16,12,80,all,15.2918
hadamard,8,128,16,12,80,mid,13.5603
hadamard,8,128,16,12,40,all,17.2463
hadamard,8,128,16,12,40,mid,14.1349
hadamard,8,128,16,8,160,all,17.3129
hadamard,8,128,16,8,160,mid,14.4488
hadamard,8,128,16,8,120,all,17.9735
hadamard,8,128,16,8,120,mid,14.5655
hadamard,8,128,16,8,80,all,18.9825
hadamard,8,128,16,8,80,mid,14.8409
hadamard,8,128,16,8,40,all,21.7397
hadamard,8,128,16,8,40,mid,15.6712
hadamard,8,128,12,16,160,all,13.0749
hadamard,8,128,12,16,160,mid,12.6693
hadamard,8,128,12,16,120,all,13.3854
hadamard,8,128,12,16,120,mid,12.7280
hadamard,8,128,12,16,80,all,13.9190
hadamard,8,128,12,16,80,mid,12.8572
hadamard,8,128,12,16,40,all,15.4187
hadamard,8,128,12,16,40,mid,13.3968
hadamard,8,128,12,12,160,all,16.1901
hadamard,8,128,12,12,160,mid,13.6894
hadamard,8,128,12,12,120,all,16.7806
hadamard,8,128,12,12,120,mid,13.7864
hadamard,8,128,12,12,80,all,17.5177
hadamard,8,128,12,12,80,mid,13.9889
hadamard,8,128,12,12,40,all,19.8989
hadamard,8,128,12,12,40,mid,14.6538
hadamard,8,128,12,8,160,all,21.3113
hadamard,8,128,12,8,160,mid,14.8881
hadamard,8,128,12,8,120,all,22.2892
hadamard,8,128,12,8,120,mid,15.0349
hadamard,8,128,12,8,80,all,23.5603
hadamard,8,128,12,8,80,mid,15.2782
hadamard,8,128,12,8,40,all,27.2749
hadamard,8,128,12,8,40,mid,16.1390
hadamard,8,128,8,16,160,all,14.8475
hadamard,8,128,8,16,160,mid,13.4339
hadamard,8,128,8,16,120,all,15.2908
hadamard,8,128,8,16,120,mid,13.5446
hadamard,8,128,8,16,80,all,16.0927
hadamard,8,128,8,16,80,mid,13.7307
hadamard,8,128,8,16,40,all,18.3102
hadamard,8,128,8,16,40,mid,14.3791
hadamard,8,128,8,12,160,all,21.7792
hadamard,8,128,8,12,160,mid,15.0256
hadamard,8,128,8,12,120,all,22.6323
hadamard,8,128,8,12,120,mid,15.1629
hadamard,8,128,8,12,80,all,23.9117
hadamard,8,128,8,12,80,mid,15.3548
hadamard,8,128,8,12,40,all,27.7124
hadamard,8,128,8,12,40,mid,16.1862
hadamard,8,128,8,8,160,all,31.8359
hadamard,8,128,8,8,160,mid,15.9667
hadamard,8,128,8,8,120,all,33.3109
hadamard,8,128,8,8,120,mid,16.1037
